"","var_1","var_2","intercept_est","slope_est","p_value","n"
"83","fatigued","depressive_tendencies",1.95148399158681,0.312713250759524,3.26597072771792e-13,301
"84","fatigued","bad_sleep",1.60311447811449,0.391273849607181,9.3303957343765e-17,306
"85","fatigued","feel_constant_need_to_look_at_phone",2.26481538570988,0.151280166314908,3.97128583500459e-05,307
"86","fatigued","stress_level",1.95560253699788,0.325698848954661,4.033276334648e-09,293
"87","lonely","difficult_to_concentrate",1.47082286659015,0.293657354274846,1.89232368062116e-11,309
"88","lonely","efficiency_compared_to_peers",1.60411590671771,0.290006091193875,2.07088825309341e-08,309
"89","lonely","other_better_lives",1.03741493414709,0.401960141909032,4.31115647706253e-18,309
"90","lonely","depressive_tendencies",0.901304419876418,0.568795719798301,2.4787212097307e-31,300
"91","lonely","bad_sleep",1.15404575892858,0.395228794642856,3.75123228756007e-12,304
"92","lonely","stress_level",1.33549575524588,0.400888995675157,2.48624427275542e-09,290
"93","difficult_to_concentrate","efficiency_compared_to_peers",1.33639054487847,0.573894192687706,1.38045044350005e-20,318
"94","difficult_to_concentrate","motivated",4.1392513952415,-0.39079350425916,1.23474294851897e-09,319
"95","difficult_to_concentrate","other_better_lives",1.70739444322906,0.291894552614307,1.14839910294527e-06,313
"96","difficult_to_concentrate","depressive_tendencies",1.48169130855326,0.452950117451984,2.27701916614192e-12,302
"97","difficult_to_concentrate","bad_sleep",1.42873384726305,0.415617547556985,1.47381469775197e-08,307
"98","difficult_to_concentrate","feel_constant_need_to_look_at_phone",1.83269863250823,0.268738099359528,1.06955234441584e-06,308
"99","difficult_to_concentrate","is_phone_distracting",1.72709724993494,0.362269020560425,7.46753402612901e-09,290
"100","difficult_to_concentrate","stress_level",1.81032338308458,0.334577114427859,9.21632749744581e-05,295
"101","difficult_to_concentrate","consciously_no_phone",3.03611834699158,-0.161555346317325,2.2746881283449e-06,311
"102","efficiency_compared_to_peers","positive_feedback",3.08314022124088,-0.230641423636921,5.45180479108848e-05,319
"103","efficiency_compared_to_peers","motivated",3.28863664974194,-0.28177583819395,3.98924266915341e-07,319
"104","efficiency_compared_to_peers","other_better_lives",1.32774835152956,0.279663459806148,4.85826522302252e-08,313
"105","efficiency_compared_to_peers","depressive_tendencies",1.32648196766615,0.350317811247755,4.67101887305625e-10,302
